Gene,Lineage
CD44,Astrocyte
GFAP,Astrocyte
TNC,Astrocyte
VWF,Endothelial
CD36,Microglia
GALC,Myelinating OL
MAG,Myelinating OL
ASCL1,Neural Progenitor
SOX1,Neural Progenitor
FUT4,Neural Stem Cell
MSI1,Neural Stem Cell
NES,Neural Stem Cell
ELAVL3,Neuron
NEFH,Neuron
SNAP25,Neuron
TUBB3,Neuron
CNP,GPC
GPR17,GPC
NKX2-2,GPC
OLIG1,GPC
OLIG2,GPC
SOX10,GPC
CSPG4,GPC
PDGFRA,GPC
ST8SIA1,GPC
